area,countyname,racecomp,h_popp,h_sshp,difference
45001,"Abbeville County, SC",Black,.20325474,.23955695,.036302209
45001,"Abbeville County, SC",White,.75060427,.71439928,-.036204994
45001,"Abbeville County, SC",Other,.016776355,.010529976,-.0062463786
45001,"Abbeville County, SC",Asian,.0021060188,0,-.0021060188
45001,"Abbeville County, SC",Hispanic,.027258584,.035513833,.0082552489
22001,"Acadia Parish, LA",White,.79322922,.73772764,-.05550158
22001,"Acadia Parish, LA",Hispanic,.024745572,.037173785,.012428213
22001,"Acadia Parish, LA",Asian,.010897346,.0042796009,-.0066177449
22001,"Acadia Parish, LA",Other,.029253218,.033985063,.0047318451
22001,"Acadia Parish, LA",Black,.14187463,.18683393,.044959307
51001,"Accomack County, VA",Black,.1903895,.22649227,.036102772
51001,"Accomack County, VA",Other,.038159389,.052356947,.014197558
51001,"Accomack County, VA",Asian,.0036924332,.0027500619,-.00094237132
51001,"Accomack County, VA",White,.71658671,.65909815,-.057488561
51001,"Accomack County, VA",Hispanic,.051172029,.059302613,.0081305839
16001,"Ada County, ID",Black,.0058550676,.0085930889,.0027380213
16001,"Ada County, ID",Other,.043076556,.050812446,.0077358894
16001,"Ada County, ID",Hispanic,.085565418,.10342578,.01786036
16001,"Ada County, ID",White,.83422756,.80475909,-.029468477
16001,"Ada County, ID",Asian,.031275336,.032409623,.0011342876
19001,"Adair County, IA",Hispanic,.045757644,.067464784,.02170714
19001,"Adair County, IA",Black,.010677742,.016439851,.0057621095
19001,"Adair County, IA",Asian,.0036358933,.0012960878,-.0023398055
19001,"Adair County, IA",White,.90960568,.88307917,-.026526511
19001,"Adair County, IA",Other,.030323062,.031720042,.0013969801
21001,"Adair County, KY",Black,.0044692988,.002712402,-.0017568967
21001,"Adair County, KY",Asian,.011566276,.013436822,.0018705465
21001,"Adair County, KY",Other,.038853701,.034384914,-.0044687875
21001,"Adair County, KY",White,.93473476,.94775498,.013020217
21001,"Adair County, KY",Hispanic,.01037596,.0017108998,-.0086650597
29001,"Adair County, MO",Black,.020132786,.017090455,-.003042331
29001,"Adair County, MO",Asian,.00062310655,.00172691,.0011038035
29001,"Adair County, MO",White,.93264008,.93527067,.0026305914
29001,"Adair County, MO",Other,.035108831,.040790804,.005681973
29001,"Adair County, MO",Hispanic,.011495241,.0051211817,-.0063740592
40001,"Adair County, OK",Hispanic,.042469487,.04762581,.0051563233
40001,"Adair County, OK",Asian,.0043370067,.0071486058,.0028115991
40001,"Adair County, OK",Other,.3586207,.36680394,.0081832409
40001,"Adair County, OK",Black,.013437611,.013397718,-.000039893202
40001,"Adair County, OK",White,.58113521,.5650239,-.016111314
8001,"Adams County, CO",Asian,.036492985,.034433287,-.0020596981
8001,"Adams County, CO",Black,.044426341,.04086905,-.0035572909
8001,"Adams County, CO",Other,.044330109,.048222274,.0038921647
8001,"Adams County, CO",Hispanic,.31427771,.41785759,.10357988
8001,"Adams County, CO",White,.56047285,.45861781,-.10185504
19003,"Adams County, IA",Hispanic,.021316241,.032600053,.011283811
19003,"Adams County, IA",White,.93562126,.93173301,-.0038882494
19003,"Adams County, IA",Other,.031370301,.02525463,-.0061156712
19003,"Adams County, IA",Asian,.011692194,.010412329,-.0012798654
16003,"Adams County, ID",Asian,.0067124693,.0018782702,-.0048341993
16003,"Adams County, ID",Other,.053522073,.068869911,.015347838
16003,"Adams County, ID",White,.90288639,.90340328,.00051689148
16003,"Adams County, ID",Black,.0018755429,.003041009,.001165466
16003,"Adams County, ID",Hispanic,.035003554,.022807566,-.012195988
17001,"Adams County, IL",Other,.029549867,.035634656,.0060847886
