year,area,area_name,racecomp,xtype,hp
2024,1,Alabama,Total,Share of struggling households who are eligible for baby bonds (CT Model),.024434993
2024,1,Alabama,Total,Share of struggling households who are eligible for baby bonds (DC Model),.68951517
2024,1,Alabama,White,Share of struggling households who are eligible for baby bonds (CT Model),.017410442
2024,1,Alabama,White,Share of struggling households who are eligible for baby bonds (DC Model),.63759005
2024,1,Alabama,Black,Share of struggling households who are eligible for baby bonds (CT Model),.03266748
2024,1,Alabama,Black,Share of struggling households who are eligible for baby bonds (DC Model),.76827878
2024,1,Alabama,Hispanic,Share of struggling households who are eligible for baby bonds (CT Model),.058996692
2024,1,Alabama,Hispanic,Share of struggling households who are eligible for baby bonds (DC Model),.77031147
2024,1,Alabama,Asian,Share of struggling households who are eligible for baby bonds (CT Model),.02192894
2024,1,Alabama,Asian,Share of struggling households who are eligible for baby bonds (DC Model),.61739337
2024,1,Alabama,Other,Share of struggling households who are eligible for baby bonds (CT Model),.020275759
2024,1,Alabama,Other,Share of struggling households who are eligible for baby bonds (DC Model),.73532259
2024,2,Alaska,Total,Share of struggling households who are eligible for baby bonds (CT Model),.026603488
2024,2,Alaska,Total,Share of struggling households who are eligible for baby bonds (DC Model),.72945791
2024,2,Alaska,White,Share of struggling households who are eligible for baby bonds (CT Model),.020744102
2024,2,Alaska,White,Share of struggling households who are eligible for baby bonds (DC Model),.65522718
2024,2,Alaska,Black,Share of struggling households who are eligible for baby bonds (CT Model),0
2024,2,Alaska,Black,Share of struggling households who are eligible for baby bonds (DC Model),.90467185
2024,2,Alaska,Hispanic,Share of struggling households who are eligible for baby bonds (CT Model),.019413335
2024,2,Alaska,Hispanic,Share of struggling households who are eligible for baby bonds (DC Model),.78324759
2024,2,Alaska,Asian,Share of struggling households who are eligible for baby bonds (CT Model),.025485
2024,2,Alaska,Asian,Share of struggling households who are eligible for baby bonds (DC Model),.72635788
2024,2,Alaska,Other,Share of struggling households who are eligible for baby bonds (CT Model),.044007048
2024,2,Alaska,Other,Share of struggling households who are eligible for baby bonds (DC Model),.85158718
2024,4,Arizona,Total,Share of struggling households who are eligible for baby bonds (CT Model),.017911131
2024,4,Arizona,Total,Share of struggling households who are eligible for baby bonds (DC Model),.69050485
2024,4,Arizona,White,Share of struggling households who are eligible for baby bonds (CT Model),.011687354
2024,4,Arizona,White,Share of struggling households who are eligible for baby bonds (DC Model),.65336907
2024,4,Arizona,Black,Share of struggling households who are eligible for baby bonds (CT Model),.030289687
2024,4,Arizona,Black,Share of struggling households who are eligible for baby bonds (DC Model),.76204479
2024,4,Arizona,Hispanic,Share of struggling households who are eligible for baby bonds (CT Model),.025814295
2024,4,Arizona,Hispanic,Share of struggling households who are eligible for baby bonds (DC Model),.74275547
2024,4,Arizona,Asian,Share of struggling households who are eligible for baby bonds (CT Model),.011758372
