year,area,area_name,racecomp,xtype,hp
2024,1,Alabama,Total,Share of struggling households who own a business,.05446725
2024,1,Alabama,Total,Share of self sufficent household households who own a business,.065754227
2024,1,Alabama,White,Share of struggling households who own a business,.05316107
2024,1,Alabama,White,Share of self sufficent household households who own a business,.06778235
2024,1,Alabama,Black,Share of struggling households who own a business,.039733805
2024,1,Alabama,Black,Share of self sufficent household households who own a business,.049007718
2024,1,Alabama,Hispanic,Share of struggling households who own a business,.14333363
2024,1,Alabama,Hispanic,Share of self sufficent household households who own a business,.073437996
2024,1,Alabama,Asian,Share of struggling households who own a business,.071227632
2024,1,Alabama,Asian,Share of self sufficent household households who own a business,.11233437
2024,1,Alabama,Other,Share of struggling households who own a business,.088808633
2024,1,Alabama,Other,Share of self sufficent household households who own a business,.088086374
2024,2,Alaska,Total,Share of struggling households who own a business,.089165591
2024,2,Alaska,Total,Share of self sufficent household households who own a business,.082357548
2024,2,Alaska,White,Share of struggling households who own a business,.093081042
2024,2,Alaska,White,Share of self sufficent household households who own a business,.085851587
2024,2,Alaska,Black,Share of struggling households who own a business,0
2024,2,Alaska,Black,Share of self sufficent household households who own a business,0
2024,2,Alaska,Hispanic,Share of struggling households who own a business,.049247067
2024,2,Alaska,Hispanic,Share of self sufficent household households who own a business,.11187872
2024,2,Alaska,Asian,Share of struggling households who own a business,.079713531
2024,2,Alaska,Asian,Share of self sufficent household households who own a business,.044109255
2024,2,Alaska,Other,Share of struggling households who own a business,.1028055
2024,2,Alaska,Other,Share of self sufficent household households who own a business,.071100526
2024,4,Arizona,Total,Share of struggling households who own a business,.070291951
2024,4,Arizona,Total,Share of self sufficent household households who own a business,.073989093
2024,4,Arizona,White,Share of struggling households who own a business,.068713158
2024,4,Arizona,White,Share of self sufficent household households who own a business,.078142531
2024,4,Arizona,Black,Share of struggling households who own a business,.034645572
2024,4,Arizona,Black,Share of self sufficent household households who own a business,.073649921
2024,4,Arizona,Hispanic,Share of struggling households who own a business,.083844759
2024,4,Arizona,Hispanic,Share of self sufficent household households who own a business,.067785606
2024,4,Arizona,Asian,Share of struggling households who own a business,.08147043
2024,4,Arizona,Asian,Share of self sufficent household households who own a business,.060741253
2024,4,Arizona,Other,Share of struggling households who own a business,.046836331
2024,4,Arizona,Other,Share of self sufficent household households who own a business,.056554697
2024,5,Arkansas,Total,Share of struggling households who own a business,.060869683
2024,5,Arkansas,Total,Share of self sufficent household households who own a business,.074299298
2024,5,Arkansas,White,Share of struggling households who own a business,.063349389
2024,5,Arkansas,White,Share of self sufficent household households who own a business,.081322372
2024,5,Arkansas,Black,Share of struggling households who own a business,.037633494
2024,5,Arkansas,Black,Share of self sufficent household households who own a business,.053320125
2024,5,Arkansas,Hispanic,Share of struggling households who own a business,.071752869
2024,5,Arkansas,Hispanic,Share of self sufficent household households who own a business,.028954366
2024,5,Arkansas,Asian,Share of struggling households who own a business,.054915231
2024,5,Arkansas,Asian,Share of self sufficent household households who own a business,.090552576
2024,5,Arkansas,Other,Share of struggling households who own a business,.082793213
2024,5,Arkansas,Other,Share of self sufficent household households who own a business,.060952328
2024,6,California,Total,Share of struggling households who own a business,.09569405
2024,6,California,Total,Share of self sufficent household households who own a business,.085658923
2024,6,California,White,Share of struggling households who own a business,.099030487
2024,6,California,White,Share of self sufficent household households who own a business,.1015349
2024,6,California,Black,Share of struggling households who own a business,.059357878
2024,6,California,Black,Share of self sufficent household households who own a business,.07359308
2024,6,California,Hispanic,Share of struggling households who own a business,.10517525
2024,6,California,Hispanic,Share of self sufficent household households who own a business,.066776231
2024,6,California,Asian,Share of struggling households who own a business,.078354076
2024,6,California,Asian,Share of self sufficent household households who own a business,.066064425
2024,6,California,Other,Share of struggling households who own a business,.096718229
2024,6,California,Other,Share of self sufficent household households who own a business,.093453616
2024,8,Colorado,Total,Share of struggling households who own a business,.084495462
2024,8,Colorado,Total,Share of self sufficent household households who own a business,.091859266
2024,8,Colorado,White,Share of struggling households who own a business,.088111743
2024,8,Colorado,White,Share of self sufficent household households who own a business,.094095029
2024,8,Colorado,Black,Share of struggling households who own a business,.066329047
2024,8,Colorado,Black,Share of self sufficent household households who own a business,.050671238
2024,8,Colorado,Hispanic,Share of struggling households who own a business,.066348508
2024,8,Colorado,Hispanic,Share of self sufficent household households who own a business,.084497809
2024,8,Colorado,Asian,Share of struggling households who own a business,.10122814
2024,8,Colorado,Asian,Share of self sufficent household households who own a business,.086077876
2024,8,Colorado,Other,Share of struggling households who own a business,.12446414
2024,8,Colorado,Other,Share of self sufficent household households who own a business,.10697751
2024,9,Connecticut,Total,Share of struggling households who own a business,.076197721
2024,9,Connecticut,Total,Share of self sufficent household households who own a business,.075248815
2024,9,Connecticut,White,Share of struggling households who own a business,.077593699
2024,9,Connecticut,White,Share of self sufficent household households who own a business,.07714849
2024,9,Connecticut,Black,Share of struggling households who own a business,.044252619
2024,9,Connecticut,Black,Share of self sufficent household households who own a business,.062388211
2024,9,Connecticut,Hispanic,Share of struggling households who own a business,.081369407
2024,9,Connecticut,Hispanic,Share of self sufficent household households who own a business,.078364722
2024,9,Connecticut,Asian,Share of struggling households who own a business,.074980572
2024,9,Connecticut,Asian,Share of self sufficent household households who own a business,.047412854
2024,9,Connecticut,Other,Share of struggling households who own a business,.11909281
2024,9,Connecticut,Other,Share of self sufficent household households who own a business,.086616226
2024,10,Delaware,Total,Share of struggling households who own a business,.056908026
2024,10,Delaware,Total,Share of self sufficent household households who own a business,.060701326
2024,10,Delaware,White,Share of struggling households who own a business,.051656682
2024,10,Delaware,White,Share of self sufficent household households who own a business,.067162424
2024,10,Delaware,Black,Share of struggling households who own a business,.01508846
2024,10,Delaware,Black,Share of self sufficent household households who own a business,.037285399
2024,10,Delaware,Hispanic,Share of struggling households who own a business,.14750405
2024,10,Delaware,Hispanic,Share of self sufficent household households who own a business,.069171645
2024,10,Delaware,Asian,Share of struggling households who own a business,.06996198
2024,10,Delaware,Asian,Share of self sufficent household households who own a business,.061857689
2024,10,Delaware,Other,Share of struggling households who own a business,.14066391
2024,10,Delaware,Other,Share of self sufficent household households who own a business,.020726623
2024,11,District of Columbia,Total,Share of struggling households who own a business,.061965507
2024,11,District of Columbia,Total,Share of self sufficent household households who own a business,.090378501
2024,11,District of Columbia,White,Share of struggling households who own a business,.10618103
2024,11,District of Columbia,White,Share of self sufficent household households who own a business,.093392514
2024,11,District of Columbia,Black,Share of struggling households who own a business,.035580013
2024,11,District of Columbia,Black,Share of self sufficent household households who own a business,.094158657
2024,11,District of Columbia,Hispanic,Share of struggling households who own a business,.11471234
2024,11,District of Columbia,Hispanic,Share of self sufficent household households who own a business,.081478998
2024,11,District of Columbia,Asian,Share of struggling households who own a business,.090980239
2024,11,District of Columbia,Asian,Share of self sufficent household households who own a business,.068769813
2024,11,District of Columbia,Other,Share of struggling households who own a business,.083135016
2024,11,District of Columbia,Other,Share of self sufficent household households who own a business,.087720923
2024,12,Florida,Total,Share of struggling households who own a business,.072734646
2024,12,Florida,Total,Share of self sufficent household households who own a business,.074627936
2024,12,Florida,White,Share of struggling households who own a business,.06399446
2024,12,Florida,White,Share of self sufficent household households who own a business,.071738712
2024,12,Florida,Black,Share of struggling households who own a business,.049507529
2024,12,Florida,Black,Share of self sufficent household households who own a business,.06805826
2024,12,Florida,Hispanic,Share of struggling households who own a business,.094647385
2024,12,Florida,Hispanic,Share of self sufficent household households who own a business,.082792722
2024,12,Florida,Asian,Share of struggling households who own a business,.10910286
2024,12,Florida,Asian,Share of self sufficent household households who own a business,.076599203
2024,12,Florida,Other,Share of struggling households who own a business,.099125132
2024,12,Florida,Other,Share of self sufficent household households who own a business,.097278774
2024,13,Georgia,Total,Share of struggling households who own a business,.071383938
2024,13,Georgia,Total,Share of self sufficent household households who own a business,.072687767
2024,13,Georgia,White,Share of struggling households who own a business,.070137993
2024,13,Georgia,White,Share of self sufficent household households who own a business,.069706716
2024,13,Georgia,Black,Share of struggling households who own a business,.056468535
2024,13,Georgia,Black,Share of self sufficent household households who own a business,.07194005
2024,13,Georgia,Hispanic,Share of struggling households who own a business,.10773576
2024,13,Georgia,Hispanic,Share of self sufficent household households who own a business,.094495617
2024,13,Georgia,Asian,Share of struggling households who own a business,.086343028
2024,13,Georgia,Asian,Share of self sufficent household households who own a business,.073235959
2024,13,Georgia,Other,Share of struggling households who own a business,.10751539
2024,13,Georgia,Other,Share of self sufficent household households who own a business,.087891065
2024,15,Hawaii,Total,Share of struggling households who own a business,.078452997
2024,15,Hawaii,Total,Share of self sufficent household households who own a business,.097622089
2024,15,Hawaii,White,Share of struggling households who own a business,.097568907
2024,15,Hawaii,White,Share of self sufficent household households who own a business,.1166245
2024,15,Hawaii,Black,Share of struggling households who own a business,.082114324
2024,15,Hawaii,Black,Share of self sufficent household households who own a business,.026132299
2024,15,Hawaii,Hispanic,Share of struggling households who own a business,.10116231
2024,15,Hawaii,Hispanic,Share of self sufficent household households who own a business,.22838242
2024,15,Hawaii,Asian,Share of struggling households who own a business,.064791746
2024,15,Hawaii,Asian,Share of self sufficent household households who own a business,.077453092
2024,15,Hawaii,Other,Share of struggling households who own a business,.069934651
2024,15,Hawaii,Other,Share of self sufficent household households who own a business,.074684165
2024,16,Idaho,Total,Share of struggling households who own a business,.084798418
2024,16,Idaho,Total,Share of self sufficent household households who own a business,.091874972
2024,16,Idaho,White,Share of struggling households who own a business,.087511443
2024,16,Idaho,White,Share of self sufficent household households who own a business,.095676042
2024,16,Idaho,Black,Share of struggling households who own a business,0
2024,16,Idaho,Black,Share of self sufficent household households who own a business,.12599249
2024,16,Idaho,Hispanic,Share of struggling households who own a business,.083822571
2024,16,Idaho,Hispanic,Share of self sufficent household households who own a business,.063885726
2024,16,Idaho,Asian,Share of struggling households who own a business,.06277854
2024,16,Idaho,Asian,Share of self sufficent household households who own a business,.036423728
2024,16,Idaho,Other,Share of struggling households who own a business,.063366823
2024,16,Idaho,Other,Share of self sufficent household households who own a business,.090338215
2024,17,Illinois,Total,Share of struggling households who own a business,.06063344
2024,17,Illinois,Total,Share of self sufficent household households who own a business,.066872008
2024,17,Illinois,White,Share of struggling households who own a business,.060447279
2024,17,Illinois,White,Share of self sufficent household households who own a business,.069935195
2024,17,Illinois,Black,Share of struggling households who own a business,.04603453
2024,17,Illinois,Black,Share of self sufficent household households who own a business,.062486272
2024,17,Illinois,Hispanic,Share of struggling households who own a business,.070987903
2024,17,Illinois,Hispanic,Share of self sufficent household households who own a business,.056185924
2024,17,Illinois,Asian,Share of struggling households who own a business,.079366177
2024,17,Illinois,Asian,Share of self sufficent household households who own a business,.044186853
2024,17,Illinois,Other,Share of struggling households who own a business,.057133421
2024,17,Illinois,Other,Share of self sufficent household households who own a business,.086570546
2024,18,Indiana,Total,Share of struggling households who own a business,.05766682
2024,18,Indiana,Total,Share of self sufficent household households who own a business,.064934485
2024,18,Indiana,White,Share of struggling households who own a business,.058362201
2024,18,Indiana,White,Share of self sufficent household households who own a business,.066549547
2024,18,Indiana,Black,Share of struggling households who own a business,.048917625
2024,18,Indiana,Black,Share of self sufficent household households who own a business,.061142314
2024,18,Indiana,Hispanic,Share of struggling households who own a business,.05473239
2024,18,Indiana,Hispanic,Share of self sufficent household households who own a business,.038281832
2024,18,Indiana,Asian,Share of struggling households who own a business,.074487492
2024,18,Indiana,Asian,Share of self sufficent household households who own a business,.05930537
2024,18,Indiana,Other,Share of struggling households who own a business,.064623229
2024,18,Indiana,Other,Share of self sufficent household households who own a business,.075685367
2024,19,Iowa,Total,Share of struggling households who own a business,.061031103
2024,19,Iowa,Total,Share of self sufficent household households who own a business,.082885332
2024,19,Iowa,White,Share of struggling households who own a business,.066333018
2024,19,Iowa,White,Share of self sufficent household households who own a business,.088241823
2024,19,Iowa,Black,Share of struggling households who own a business,.013055708
2024,19,Iowa,Black,Share of self sufficent household households who own a business,.020199208
2024,19,Iowa,Hispanic,Share of struggling households who own a business,.062167134
2024,19,Iowa,Hispanic,Share of self sufficent household households who own a business,.044669829
2024,19,Iowa,Asian,Share of struggling households who own a business,.025881385
2024,19,Iowa,Asian,Share of self sufficent household households who own a business,.042699896
2024,19,Iowa,Other,Share of struggling households who own a business,.038602062
2024,19,Iowa,Other,Share of self sufficent household households who own a business,.033351347
