year,area,area_name,racecomp,xtype,hp
2024,1,Alabama,Total,Share of struggling households who own a home,.60634989
2024,1,Alabama,Total,Share of self sufficent household households who own a home,.81436831
2024,1,Alabama,White,Share of struggling households who own a home,.70210081
2024,1,Alabama,White,Share of self sufficent household households who own a home,.86635715
2024,1,Alabama,Black,Share of struggling households who own a home,.45882466
2024,1,Alabama,Black,Share of self sufficent household households who own a home,.64628136
2024,1,Alabama,Hispanic,Share of struggling households who own a home,.5552581
2024,1,Alabama,Hispanic,Share of self sufficent household households who own a home,.70925838
2024,1,Alabama,Asian,Share of struggling households who own a home,.41265047
2024,1,Alabama,Asian,Share of self sufficent household households who own a home,.76961172
2024,1,Alabama,Other,Share of struggling households who own a home,.52514476
2024,1,Alabama,Other,Share of self sufficent household households who own a home,.80477691
2024,2,Alaska,Total,Share of struggling households who own a home,.58442968
2024,2,Alaska,Total,Share of self sufficent household households who own a home,.74887133
2024,2,Alaska,White,Share of struggling households who own a home,.64277613
2024,2,Alaska,White,Share of self sufficent household households who own a home,.77998817
2024,2,Alaska,Black,Share of struggling households who own a home,.10488606
2024,2,Alaska,Black,Share of self sufficent household households who own a home,.2697413
2024,2,Alaska,Hispanic,Share of struggling households who own a home,.34190622
2024,2,Alaska,Hispanic,Share of self sufficent household households who own a home,.69450361
2024,2,Alaska,Asian,Share of struggling households who own a home,.40741754
2024,2,Alaska,Asian,Share of self sufficent household households who own a home,.62752008
2024,2,Alaska,Other,Share of struggling households who own a home,.61247993
2024,2,Alaska,Other,Share of self sufficent household households who own a home,.70791453
2024,4,Arizona,Total,Share of struggling households who own a home,.62850058
2024,4,Arizona,Total,Share of self sufficent household households who own a home,.74191624
2024,4,Arizona,White,Share of struggling households who own a home,.69024289
2024,4,Arizona,White,Share of self sufficent household households who own a home,.78849828
2024,4,Arizona,Black,Share of struggling households who own a home,.34078223
2024,4,Arizona,Black,Share of self sufficent household households who own a home,.51869428
2024,4,Arizona,Hispanic,Share of struggling households who own a home,.57726389
2024,4,Arizona,Hispanic,Share of self sufficent household households who own a home,.65230638
2024,4,Arizona,Asian,Share of struggling households who own a home,.5721246
2024,4,Arizona,Asian,Share of self sufficent household households who own a home,.66239911
2024,4,Arizona,Other,Share of struggling households who own a home,.59899127
2024,4,Arizona,Other,Share of self sufficent household households who own a home,.6859718
2024,5,Arkansas,Total,Share of struggling households who own a home,.57090992
2024,5,Arkansas,Total,Share of self sufficent household households who own a home,.76890999
2024,5,Arkansas,White,Share of struggling households who own a home,.65664095
2024,5,Arkansas,White,Share of self sufficent household households who own a home,.8221488
2024,5,Arkansas,Black,Share of struggling households who own a home,.37081498
2024,5,Arkansas,Black,Share of self sufficent household households who own a home,.54132545
2024,5,Arkansas,Hispanic,Share of struggling households who own a home,.4965955
2024,5,Arkansas,Hispanic,Share of self sufficent household households who own a home,.66160375
2024,5,Arkansas,Asian,Share of struggling households who own a home,.45664302
2024,5,Arkansas,Asian,Share of self sufficent household households who own a home,.63673586
2024,5,Arkansas,Other,Share of struggling households who own a home,.40623394
2024,5,Arkansas,Other,Share of self sufficent household households who own a home,.68762147
2024,6,California,Total,Share of struggling households who own a home,.50560814
2024,6,California,Total,Share of self sufficent household households who own a home,.65938282
2024,6,California,White,Share of struggling households who own a home,.58088094
2024,6,California,White,Share of self sufficent household households who own a home,.70856845
2024,6,California,Black,Share of struggling households who own a home,.2766003
2024,6,California,Black,Share of self sufficent household households who own a home,.50694889
2024,6,California,Hispanic,Share of struggling households who own a home,.44797516
2024,6,California,Hispanic,Share of self sufficent household households who own a home,.58214718
2024,6,California,Asian,Share of struggling households who own a home,.59703636
2024,6,California,Asian,Share of self sufficent household households who own a home,.68469131
2024,6,California,Other,Share of struggling households who own a home,.44249994
2024,6,California,Other,Share of self sufficent household households who own a home,.5926916
2024,8,Colorado,Total,Share of struggling households who own a home,.56649047
2024,8,Colorado,Total,Share of self sufficent household households who own a home,.73590481
2024,8,Colorado,White,Share of struggling households who own a home,.62148899
2024,8,Colorado,White,Share of self sufficent household households who own a home,.75667024
2024,8,Colorado,Black,Share of struggling households who own a home,.33947182
2024,8,Colorado,Black,Share of self sufficent household households who own a home,.53982604
2024,8,Colorado,Hispanic,Share of struggling households who own a home,.4838562
2024,8,Colorado,Hispanic,Share of self sufficent household households who own a home,.67390734
2024,8,Colorado,Asian,Share of struggling households who own a home,.55413991
2024,8,Colorado,Asian,Share of self sufficent household households who own a home,.73378175
2024,8,Colorado,Other,Share of struggling households who own a home,.48370841
2024,8,Colorado,Other,Share of self sufficent household households who own a home,.70777988
2024,9,Connecticut,Total,Share of struggling households who own a home,.53922796
2024,9,Connecticut,Total,Share of self sufficent household households who own a home,.78229487
2024,9,Connecticut,White,Share of struggling households who own a home,.66969663
2024,9,Connecticut,White,Share of self sufficent household households who own a home,.82512987
2024,9,Connecticut,Black,Share of struggling households who own a home,.35619199
2024,9,Connecticut,Black,Share of self sufficent household households who own a home,.63305533
2024,9,Connecticut,Hispanic,Share of struggling households who own a home,.32218286
2024,9,Connecticut,Hispanic,Share of self sufficent household households who own a home,.64563578
2024,9,Connecticut,Asian,Share of struggling households who own a home,.53880686
2024,9,Connecticut,Asian,Share of self sufficent household households who own a home,.65245098
2024,9,Connecticut,Other,Share of struggling households who own a home,.44859397
2024,9,Connecticut,Other,Share of self sufficent household households who own a home,.70008725
2024,10,Delaware,Total,Share of struggling households who own a home,.66023636
2024,10,Delaware,Total,Share of self sufficent household households who own a home,.83264458
2024,10,Delaware,White,Share of struggling households who own a home,.76389003
2024,10,Delaware,White,Share of self sufficent household households who own a home,.8690666
2024,10,Delaware,Black,Share of struggling households who own a home,.45271784
2024,10,Delaware,Black,Share of self sufficent household households who own a home,.73648751
2024,10,Delaware,Hispanic,Share of struggling households who own a home,.58021849
2024,10,Delaware,Hispanic,Share of self sufficent household households who own a home,.67919159
2024,10,Delaware,Asian,Share of struggling households who own a home,.67269963
2024,10,Delaware,Asian,Share of self sufficent household households who own a home,.83057648
2024,10,Delaware,Other,Share of struggling households who own a home,.6330567
2024,10,Delaware,Other,Share of self sufficent household households who own a home,.73281717
2024,11,District of Columbia,Total,Share of struggling households who own a home,.25499657
2024,11,District of Columbia,Total,Share of self sufficent household households who own a home,.51177496
2024,11,District of Columbia,White,Share of struggling households who own a home,.38795432
2024,11,District of Columbia,White,Share of self sufficent household households who own a home,.51514298
2024,11,District of Columbia,Black,Share of struggling households who own a home,.22700959
2024,11,District of Columbia,Black,Share of self sufficent household households who own a home,.56235266
2024,11,District of Columbia,Hispanic,Share of struggling households who own a home,.25735617
2024,11,District of Columbia,Hispanic,Share of self sufficent household households who own a home,.4842701
2024,11,District of Columbia,Asian,Share of struggling households who own a home,.082371354
2024,11,District of Columbia,Asian,Share of self sufficent household households who own a home,.43023512
2024,11,District of Columbia,Other,Share of struggling households who own a home,.18530859
2024,11,District of Columbia,Other,Share of self sufficent household households who own a home,.40186915
2024,12,Florida,Total,Share of struggling households who own a home,.59810942
2024,12,Florida,Total,Share of self sufficent household households who own a home,.77930778
2024,12,Florida,White,Share of struggling households who own a home,.70770305
2024,12,Florida,White,Share of self sufficent household households who own a home,.82629132
2024,12,Florida,Black,Share of struggling households who own a home,.44155902
2024,12,Florida,Black,Share of self sufficent household households who own a home,.65688509
2024,12,Florida,Hispanic,Share of struggling households who own a home,.49987364
2024,12,Florida,Hispanic,Share of self sufficent household households who own a home,.69326794
2024,12,Florida,Asian,Share of struggling households who own a home,.71323788
2024,12,Florida,Asian,Share of self sufficent household households who own a home,.78166151
2024,12,Florida,Other,Share of struggling households who own a home,.52600402
2024,12,Florida,Other,Share of self sufficent household households who own a home,.7275942
2024,13,Georgia,Total,Share of struggling households who own a home,.58057666
2024,13,Georgia,Total,Share of self sufficent household households who own a home,.76416683
2024,13,Georgia,White,Share of struggling households who own a home,.70029849
2024,13,Georgia,White,Share of self sufficent household households who own a home,.83214206
2024,13,Georgia,Black,Share of struggling households who own a home,.43789655
2024,13,Georgia,Black,Share of self sufficent household households who own a home,.64130938
2024,13,Georgia,Hispanic,Share of struggling households who own a home,.50206304
2024,13,Georgia,Hispanic,Share of self sufficent household households who own a home,.65958565
2024,13,Georgia,Asian,Share of struggling households who own a home,.69923878
2024,13,Georgia,Asian,Share of self sufficent household households who own a home,.78102601
2024,13,Georgia,Other,Share of struggling households who own a home,.56941056
2024,13,Georgia,Other,Share of self sufficent household households who own a home,.69962579
2024,15,Hawaii,Total,Share of struggling households who own a home,.60085791
2024,15,Hawaii,Total,Share of self sufficent household households who own a home,.72871828
2024,15,Hawaii,White,Share of struggling households who own a home,.5392341
2024,15,Hawaii,White,Share of self sufficent household households who own a home,.67205411
2024,15,Hawaii,Black,Share of struggling households who own a home,.17428468
2024,15,Hawaii,Black,Share of self sufficent household households who own a home,.40011856
2024,15,Hawaii,Hispanic,Share of struggling households who own a home,.40722024
2024,15,Hawaii,Hispanic,Share of self sufficent household households who own a home,.61740059
2024,15,Hawaii,Asian,Share of struggling households who own a home,.72520149
2024,15,Hawaii,Asian,Share of self sufficent household households who own a home,.80224854
2024,15,Hawaii,Other,Share of struggling households who own a home,.55095327
2024,15,Hawaii,Other,Share of self sufficent household households who own a home,.72984892
2024,16,Idaho,Total,Share of struggling households who own a home,.63444632
2024,16,Idaho,Total,Share of self sufficent household households who own a home,.79579341
2024,16,Idaho,White,Share of struggling households who own a home,.65248525
2024,16,Idaho,White,Share of self sufficent household households who own a home,.81893283
2024,16,Idaho,Black,Share of struggling households who own a home,.49458614
2024,16,Idaho,Black,Share of self sufficent household households who own a home,.29597497
2024,16,Idaho,Hispanic,Share of struggling households who own a home,.55708486
2024,16,Idaho,Hispanic,Share of self sufficent household households who own a home,.65961719
2024,16,Idaho,Asian,Share of struggling households who own a home,.63259238
2024,16,Idaho,Asian,Share of self sufficent household households who own a home,.64639831
2024,16,Idaho,Other,Share of struggling households who own a home,.55104345
2024,16,Idaho,Other,Share of self sufficent household households who own a home,.72079074
2024,17,Illinois,Total,Share of struggling households who own a home,.58791476
2024,17,Illinois,Total,Share of self sufficent household households who own a home,.77362472
2024,17,Illinois,White,Share of struggling households who own a home,.6733824
2024,17,Illinois,White,Share of self sufficent household households who own a home,.81760997
2024,17,Illinois,Black,Share of struggling households who own a home,.32456848
2024,17,Illinois,Black,Share of self sufficent household households who own a home,.60412872
2024,17,Illinois,Hispanic,Share of struggling households who own a home,.59559911
2024,17,Illinois,Hispanic,Share of self sufficent household households who own a home,.69027114
2024,17,Illinois,Asian,Share of struggling households who own a home,.62007004
2024,17,Illinois,Asian,Share of self sufficent household households who own a home,.70520055
2024,17,Illinois,Other,Share of struggling households who own a home,.48259312
2024,17,Illinois,Other,Share of self sufficent household households who own a home,.69700319
2024,18,Indiana,Total,Share of struggling households who own a home,.61082584
2024,18,Indiana,Total,Share of self sufficent household households who own a home,.80591816
2024,18,Indiana,White,Share of struggling households who own a home,.67099005
2024,18,Indiana,White,Share of self sufficent household households who own a home,.841824
2024,18,Indiana,Black,Share of struggling households who own a home,.32445285
2024,18,Indiana,Black,Share of self sufficent household households who own a home,.54804772
2024,18,Indiana,Hispanic,Share of struggling households who own a home,.56506217
2024,18,Indiana,Hispanic,Share of self sufficent household households who own a home,.70126706
2024,18,Indiana,Asian,Share of struggling households who own a home,.58134639
2024,18,Indiana,Asian,Share of self sufficent household households who own a home,.61883742
2024,18,Indiana,Other,Share of struggling households who own a home,.43691012
2024,18,Indiana,Other,Share of self sufficent household households who own a home,.70434529
2024,19,Iowa,Total,Share of struggling households who own a home,.58438367
2024,19,Iowa,Total,Share of self sufficent household households who own a home,.80775899
2024,19,Iowa,White,Share of struggling households who own a home,.63003427
2024,19,Iowa,White,Share of self sufficent household households who own a home,.8246702
2024,19,Iowa,Black,Share of struggling households who own a home,.1811462
2024,19,Iowa,Black,Share of self sufficent household households who own a home,.5650177
2024,19,Iowa,Hispanic,Share of struggling households who own a home,.50770205
2024,19,Iowa,Hispanic,Share of self sufficent household households who own a home,.69182771
2024,19,Iowa,Asian,Share of struggling households who own a home,.45105702
2024,19,Iowa,Asian,Share of self sufficent household households who own a home,.54671884
2024,19,Iowa,Other,Share of struggling households who own a home,.43706515
2024,19,Iowa,Other,Share of self sufficent household households who own a home,.78368849
2024,20,Kansas,Total,Share of struggling households who own a home,.57222503
2024,20,Kansas,Total,Share of self sufficent household households who own a home,.76588565
2024,20,Kansas,White,Share of struggling households who own a home,.61397636
2024,20,Kansas,White,Share of self sufficent household households who own a home,.7897383
2024,20,Kansas,Black,Share of struggling households who own a home,.29408371
2024,20,Kansas,Black,Share of self sufficent household households who own a home,.59022999
2024,20,Kansas,Hispanic,Share of struggling households who own a home,.55321705
2024,20,Kansas,Hispanic,Share of self sufficent household households who own a home,.67527294
2024,20,Kansas,Asian,Share of struggling households who own a home,.53280598
2024,20,Kansas,Asian,Share of self sufficent household households who own a home,.66838509
2024,20,Kansas,Other,Share of struggling households who own a home,.48651561
2024,20,Kansas,Other,Share of self sufficent household households who own a home,.6813696
2024,21,Kentucky,Total,Share of struggling households who own a home,.58463663
2024,21,Kentucky,Total,Share of self sufficent household households who own a home,.79720938
2024,21,Kentucky,White,Share of struggling households who own a home,.63504988
2024,21,Kentucky,White,Share of self sufficent household households who own a home,.81771356
2024,21,Kentucky,Black,Share of struggling households who own a home,.31267369
2024,21,Kentucky,Black,Share of self sufficent household households who own a home,.5952062
2024,21,Kentucky,Hispanic,Share of struggling households who own a home,.38415524
2024,21,Kentucky,Hispanic,Share of self sufficent household households who own a home,.70204425
2024,21,Kentucky,Asian,Share of struggling households who own a home,.56760162
2024,21,Kentucky,Asian,Share of self sufficent household households who own a home,.63658065
2024,21,Kentucky,Other,Share of struggling households who own a home,.4422496
2024,21,Kentucky,Other,Share of self sufficent household households who own a home,.70983106
2024,22,Louisiana,Total,Share of struggling households who own a home,.57515329
2024,22,Louisiana,Total,Share of self sufficent household households who own a home,.80561262
2024,22,Louisiana,White,Share of struggling households who own a home,.70061439
2024,22,Louisiana,White,Share of self sufficent household households who own a home,.855892
2024,22,Louisiana,Black,Share of struggling households who own a home,.43826416
2024,22,Louisiana,Black,Share of self sufficent household households who own a home,.68843943
2024,22,Louisiana,Hispanic,Share of struggling households who own a home,.44573566
2024,22,Louisiana,Hispanic,Share of self sufficent household households who own a home,.69416368
2024,22,Louisiana,Asian,Share of struggling households who own a home,.69036329
2024,22,Louisiana,Asian,Share of self sufficent household households who own a home,.78417158
2024,22,Louisiana,Other,Share of struggling households who own a home,.57083338
2024,22,Louisiana,Other,Share of self sufficent household households who own a home,.70531279
2024,23,Maine,Total,Share of struggling households who own a home,.64469725
2024,23,Maine,Total,Share of self sufficent household households who own a home,.82564175
2024,23,Maine,White,Share of struggling households who own a home,.65908545
2024,23,Maine,White,Share of self sufficent household households who own a home,.83735257
2024,23,Maine,Black,Share of struggling households who own a home,.15949821
2024,23,Maine,Black,Share of self sufficent household households who own a home,.49935168
2024,23,Maine,Hispanic,Share of struggling households who own a home,.41155279
2024,23,Maine,Hispanic,Share of self sufficent household households who own a home,.60959095
2024,23,Maine,Asian,Share of struggling households who own a home,.57336515
2024,23,Maine,Asian,Share of self sufficent household households who own a home,.81714916
2024,23,Maine,Other,Share of struggling households who own a home,.65766013
2024,23,Maine,Other,Share of self sufficent household households who own a home,.6953426
2024,24,Maryland,Total,Share of struggling households who own a home,.57821935
2024,24,Maryland,Total,Share of self sufficent household households who own a home,.78137577
2024,24,Maryland,White,Share of struggling households who own a home,.7122128
2024,24,Maryland,White,Share of self sufficent household households who own a home,.83236694
2024,24,Maryland,Black,Share of struggling households who own a home,.42950967
2024,24,Maryland,Black,Share of self sufficent household households who own a home,.69691557
2024,24,Maryland,Hispanic,Share of struggling households who own a home,.51213366
2024,24,Maryland,Hispanic,Share of self sufficent household households who own a home,.69276834
2024,24,Maryland,Asian,Share of struggling households who own a home,.66959739
2024,24,Maryland,Asian,Share of self sufficent household households who own a home,.79218346
2024,24,Maryland,Other,Share of struggling households who own a home,.53532362
2024,24,Maryland,Other,Share of self sufficent household households who own a home,.71817821
2024,25,Massachusetts,Total,Share of struggling households who own a home,.52756763
2024,25,Massachusetts,Total,Share of self sufficent household households who own a home,.73436397
2024,25,Massachusetts,White,Share of struggling households who own a home,.62880439
2024,25,Massachusetts,White,Share of self sufficent household households who own a home,.77387166
2024,25,Massachusetts,Black,Share of struggling households who own a home,.3241837
2024,25,Massachusetts,Black,Share of self sufficent household households who own a home,.54404497
2024,25,Massachusetts,Hispanic,Share of struggling households who own a home,.24769168
2024,25,Massachusetts,Hispanic,Share of self sufficent household households who own a home,.50416499
2024,25,Massachusetts,Asian,Share of struggling households who own a home,.58875859
2024,25,Massachusetts,Asian,Share of self sufficent household households who own a home,.68094492
2024,25,Massachusetts,Other,Share of struggling households who own a home,.34976375
2024,25,Massachusetts,Other,Share of self sufficent household households who own a home,.63919944
