year,area,area_name,racecomp,med_elg,med_elg_ssh_rev
2024,1,Alabama,Total,Single parent households eligible for state baby bonds ,1
2024,1,Alabama,Total,Married parent households eligible for state baby bonds,1
2024,1,Alabama,Total,Household not eligbile for state baby bonds,2.112846770304086
2024,1,Alabama,White,Single parent households eligible for state baby bonds ,1
2024,1,Alabama,White,Married parent households eligible for state baby bonds,1
2024,1,Alabama,White,Household not eligbile for state baby bonds,2.373112523926766
2024,1,Alabama,Black,Single parent households eligible for state baby bonds ,1
2024,1,Alabama,Black,Married parent households eligible for state baby bonds,1
2024,1,Alabama,Black,Household not eligbile for state baby bonds,1.677124110480221
2024,1,Alabama,Hispanic,Single parent households eligible for state baby bonds ,1
2024,1,Alabama,Hispanic,Married parent households eligible for state baby bonds,1
2024,1,Alabama,Hispanic,Household not eligbile for state baby bonds,1.771033360720718
2024,1,Alabama,Asian,Married parent households eligible for state baby bonds,1
2024,1,Alabama,Asian,Household not eligbile for state baby bonds,2.613462447420813
2024,1,Alabama,Other,Single parent households eligible for state baby bonds ,1
2024,1,Alabama,Other,Married parent households eligible for state baby bonds,1
2024,1,Alabama,Other,Household not eligbile for state baby bonds,2.069266679407551
2024,2,Alaska,Total,Single parent households eligible for state baby bonds ,1
2024,2,Alaska,Total,Married parent households eligible for state baby bonds,1
2024,2,Alaska,Total,Household not eligbile for state baby bonds,2.272893362933632
2024,2,Alaska,White,Single parent households eligible for state baby bonds ,1
2024,2,Alaska,White,Married parent households eligible for state baby bonds,1
2024,2,Alaska,White,Household not eligbile for state baby bonds,2.646203679054794
2024,2,Alaska,Black,Household not eligbile for state baby bonds,1.649528643525087
2024,2,Alaska,Hispanic,Household not eligbile for state baby bonds,2.497896831415358
2024,2,Alaska,Asian,Married parent households eligible for state baby bonds,1
2024,2,Alaska,Asian,Household not eligbile for state baby bonds,2.050333629353249
2024,2,Alaska,Other,Single parent households eligible for state baby bonds ,1
2024,2,Alaska,Other,Married parent households eligible for state baby bonds,1
2024,2,Alaska,Other,Household not eligbile for state baby bonds,1.557624886688188
2024,4,Arizona,Total,Single parent households eligible for state baby bonds ,1
2024,4,Arizona,Total,Married parent households eligible for state baby bonds,1
2024,4,Arizona,Total,Household not eligbile for state baby bonds,2.219087274871898
2024,4,Arizona,White,Single parent households eligible for state baby bonds ,1
2024,4,Arizona,White,Married parent households eligible for state baby bonds,1
2024,4,Arizona,White,Household not eligbile for state baby bonds,2.507142003448494
2024,4,Arizona,Black,Single parent households eligible for state baby bonds ,1
2024,4,Arizona,Black,Married parent households eligible for state baby bonds,1
2024,4,Arizona,Black,Household not eligbile for state baby bonds,1.843629006294053
2024,4,Arizona,Hispanic,Single parent households eligible for state baby bonds ,1
2024,4,Arizona,Hispanic,Married parent households eligible for state baby bonds,1
2024,4,Arizona,Hispanic,Household not eligbile for state baby bonds,1.787927571239836
2024,4,Arizona,Asian,Single parent households eligible for state baby bonds ,1
2024,4,Arizona,Asian,Married parent households eligible for state baby bonds,1
2024,4,Arizona,Asian,Household not eligbile for state baby bonds,2.606739886621708
2024,4,Arizona,Other,Single parent households eligible for state baby bonds ,1
2024,4,Arizona,Other,Married parent households eligible for state baby bonds,1
2024,4,Arizona,Other,Household not eligbile for state baby bonds,1.933365726775581
2024,5,Arkansas,Total,Single parent households eligible for state baby bonds ,1
2024,5,Arkansas,Total,Married parent households eligible for state baby bonds,1
2024,5,Arkansas,Total,Household not eligbile for state baby bonds,2.200695894538119
2024,5,Arkansas,White,Single parent households eligible for state baby bonds ,1
2024,5,Arkansas,White,Married parent households eligible for state baby bonds,1
2024,5,Arkansas,White,Household not eligbile for state baby bonds,2.380293828375126
2024,5,Arkansas,Black,Single parent households eligible for state baby bonds ,1
2024,5,Arkansas,Black,Married parent households eligible for state baby bonds,1
2024,5,Arkansas,Black,Household not eligbile for state baby bonds,1.830519403937765
2024,5,Arkansas,Hispanic,Single parent households eligible for state baby bonds ,1
2024,5,Arkansas,Hispanic,Married parent households eligible for state baby bonds,1
2024,5,Arkansas,Hispanic,Household not eligbile for state baby bonds,1.679894664822403
2024,5,Arkansas,Asian,Married parent households eligible for state baby bonds,1
2024,5,Arkansas,Asian,Household not eligbile for state baby bonds,2.578671994689052
2024,5,Arkansas,Other,Single parent households eligible for state baby bonds ,1
2024,5,Arkansas,Other,Married parent households eligible for state baby bonds,1
2024,5,Arkansas,Other,Household not eligbile for state baby bonds,2.018411363600948
2024,6,California,Total,Single parent households eligible for state baby bonds ,1
2024,6,California,Total,Married parent households eligible for state baby bonds,1
2024,6,California,Total,Household not eligbile for state baby bonds,1.996366397258156
2024,6,California,White,Single parent households eligible for state baby bonds ,1
2024,6,California,White,Married parent households eligible for state baby bonds,1
2024,6,California,White,Household not eligbile for state baby bonds,2.366661592118095
2024,6,California,Black,Single parent households eligible for state baby bonds ,1
2024,6,California,Black,Married parent households eligible for state baby bonds,1
2024,6,California,Black,Household not eligbile for state baby bonds,1.794381305785732
2024,6,California,Hispanic,Single parent households eligible for state baby bonds ,1
2024,6,California,Hispanic,Married parent households eligible for state baby bonds,1
2024,6,California,Hispanic,Household not eligbile for state baby bonds,1.586830805139125
2024,6,California,Asian,Single parent households eligible for state baby bonds ,1
2024,6,California,Asian,Married parent households eligible for state baby bonds,1
2024,6,California,Asian,Household not eligbile for state baby bonds,2.199046634629355
2024,6,California,Other,Single parent households eligible for state baby bonds ,1
2024,6,California,Other,Married parent households eligible for state baby bonds,1
2024,6,California,Other,Household not eligbile for state baby bonds,2.136619601142663
2024,8,Colorado,Total,Single parent households eligible for state baby bonds ,1
2024,8,Colorado,Total,Married parent households eligible for state baby bonds,1
2024,8,Colorado,Total,Household not eligbile for state baby bonds,2.544564813424581
2024,8,Colorado,White,Single parent households eligible for state baby bonds ,1
2024,8,Colorado,White,Married parent households eligible for state baby bonds,1
2024,8,Colorado,White,Household not eligbile for state baby bonds,2.839074495402722
2024,8,Colorado,Black,Single parent households eligible for state baby bonds ,1
2024,8,Colorado,Black,Married parent households eligible for state baby bonds,1
2024,8,Colorado,Black,Household not eligbile for state baby bonds,2.008484214353709
2024,8,Colorado,Hispanic,Single parent households eligible for state baby bonds ,1
2024,8,Colorado,Hispanic,Married parent households eligible for state baby bonds,1
2024,8,Colorado,Hispanic,Household not eligbile for state baby bonds,1.912911592809927
2024,8,Colorado,Asian,Single parent households eligible for state baby bonds ,1
2024,8,Colorado,Asian,Married parent households eligible for state baby bonds,1
2024,8,Colorado,Asian,Household not eligbile for state baby bonds,2.403254733852353
2024,8,Colorado,Other,Single parent households eligible for state baby bonds ,1
2024,8,Colorado,Other,Married parent households eligible for state baby bonds,1
2024,8,Colorado,Other,Household not eligbile for state baby bonds,2.323322271086038
2024,9,Connecticut,Total,Single parent households eligible for state baby bonds ,1
2024,9,Connecticut,Total,Married parent households eligible for state baby bonds,1
2024,9,Connecticut,Total,Household not eligbile for state baby bonds,2.331428266351274
2024,9,Connecticut,White,Single parent households eligible for state baby bonds ,1
2024,9,Connecticut,White,Married parent households eligible for state baby bonds,1
2024,9,Connecticut,White,Household not eligbile for state baby bonds,2.742271201229594
2024,9,Connecticut,Black,Single parent households eligible for state baby bonds ,1
2024,9,Connecticut,Black,Married parent households eligible for state baby bonds,1
2024,9,Connecticut,Black,Household not eligbile for state baby bonds,1.75363344004864
2024,9,Connecticut,Hispanic,Single parent households eligible for state baby bonds ,1
2024,9,Connecticut,Hispanic,Married parent households eligible for state baby bonds,1
