year,area,area_name,racecomp,xtype,hp
2024,1,Alabama,White,Share of struggling households,.58039498
2024,1,Alabama,White,Share of all households,.65307939
2024,1,Alabama,White,Difference (% pts.),-.072684407
2024,1,Alabama,Black,Share of struggling households,.3249113
2024,1,Alabama,Black,Share of all households,.25789231
2024,1,Alabama,Black,Difference (% pts.),.067018986
2024,1,Alabama,Hispanic,Share of struggling households,.045878392
2024,1,Alabama,Hispanic,Share of all households,.038154919
2024,1,Alabama,Hispanic,Difference (% pts.),.007723473
2024,1,Alabama,Asian,Share of struggling households,.011846571
2024,1,Alabama,Asian,Share of all households,.014595987
2024,1,Alabama,Asian,Difference (% pts.),-.002749416
2024,1,Alabama,Other,Share of struggling households,.036968816
2024,1,Alabama,Other,Share of all households,.036277395
2024,1,Alabama,Other,Difference (% pts.),.00069142133
2024,2,Alaska,White,Share of struggling households,.5740689
2024,2,Alaska,White,Share of all households,.669245
2024,2,Alaska,White,Difference (% pts.),-.095176101
2024,2,Alaska,Black,Share of struggling households,.035025969
2024,2,Alaska,Black,Share of all households,.025723295
2024,2,Alaska,Black,Difference (% pts.),.0093026739
2024,2,Alaska,Hispanic,Share of struggling households,.058095559
2024,2,Alaska,Hispanic,Share of all households,.064609148
2024,2,Alaska,Hispanic,Difference (% pts.),-.0065135881
2024,2,Alaska,Asian,Share of struggling households,.058246873
2024,2,Alaska,Asian,Share of all households,.052476704
2024,2,Alaska,Asian,Difference (% pts.),.0057701692
2024,2,Alaska,Other,Share of struggling households,.27456269
2024,2,Alaska,Other,Share of all households,.18794583
2024,2,Alaska,Other,Difference (% pts.),.086616859
2024,4,Arizona,White,Share of struggling households,.5414021
2024,4,Arizona,White,Share of all households,.61308539
2024,4,Arizona,White,Difference (% pts.),-.071683288
2024,4,Arizona,Black,Share of struggling households,.048507892
2024,4,Arizona,Black,Share of all households,.040206682
2024,4,Arizona,Black,Difference (% pts.),.0083012097
2024,4,Arizona,Hispanic,Share of struggling households,.30034602
2024,4,Arizona,Hispanic,Share of all households,.24175803
2024,4,Arizona,Hispanic,Difference (% pts.),.058587983
2024,4,Arizona,Asian,Share of struggling households,.031399082
2024,4,Arizona,Asian,Share of all households,.036877353
2024,4,Arizona,Asian,Difference (% pts.),-.0054782704
2024,4,Arizona,Other,Share of struggling households,.078344956
2024,4,Arizona,Other,Share of all households,.068072565
2024,4,Arizona,Other,Difference (% pts.),.010272391
2024,5,Arkansas,White,Share of struggling households,.64836615
2024,5,Arkansas,White,Share of all households,.70340633
2024,5,Arkansas,White,Difference (% pts.),-.055040181
2024,5,Arkansas,Black,Share of struggling households,.17648906
2024,5,Arkansas,Black,Share of all households,.14551863
2024,5,Arkansas,Black,Difference (% pts.),.030970424
2024,5,Arkansas,Hispanic,Share of struggling households,.08717005
2024,5,Arkansas,Hispanic,Share of all households,.066706099
2024,5,Arkansas,Hispanic,Difference (% pts.),.020463951
2024,5,Arkansas,Asian,Share of struggling households,.013782595
2024,5,Arkansas,Asian,Share of all households,.016340742
2024,5,Arkansas,Asian,Difference (% pts.),-.0025581466
2024,5,Arkansas,Other,Share of struggling households,.074192159
2024,5,Arkansas,Other,Share of all households,.06802813
2024,5,Arkansas,Other,Difference (% pts.),.0061640292
2024,6,California,White,Share of struggling households,.35833111
2024,6,California,White,Share of all households,.42624655
2024,6,California,White,Difference (% pts.),-.06791544
2024,6,California,Black,Share of struggling households,.065745696
2024,6,California,Black,Share of all households,.058886182
2024,6,California,Black,Difference (% pts.),.0068595149
2024,6,California,Hispanic,Share of struggling households,.38501254
2024,6,California,Hispanic,Share of all households,.30630922
2024,6,California,Hispanic,Difference (% pts.),.078703314
2024,6,California,Asian,Share of struggling households,.14443928
2024,6,California,Asian,Share of all households,.15901729
2024,6,California,Asian,Difference (% pts.),-.014578015
2024,6,California,Other,Share of struggling households,.046471372
2024,6,California,Other,Share of all households,.049540713
2024,6,California,Other,Difference (% pts.),-.0030693412
2024,8,Colorado,White,Share of struggling households,.63236296
2024,8,Colorado,White,Share of all households,.70708191
2024,8,Colorado,White,Difference (% pts.),-.074718952
2024,8,Colorado,Black,Share of struggling households,.04658442
2024,8,Colorado,Black,Share of all households,.036502585
2024,8,Colorado,Black,Difference (% pts.),.010081835
2024,8,Colorado,Hispanic,Share of struggling households,.23230806
2024,8,Colorado,Hispanic,Share of all households,.17424944
2024,8,Colorado,Hispanic,Difference (% pts.),.058058619
2024,8,Colorado,Asian,Share of struggling households,.033217985
2024,8,Colorado,Asian,Share of all households,.031485025
2024,8,Colorado,Asian,Difference (% pts.),.0017329603
2024,8,Colorado,Other,Share of struggling households,.055526592
2024,8,Colorado,Other,Share of all households,.050681021
2024,8,Colorado,Other,Difference (% pts.),.0048455708
2024,9,Connecticut,White,Share of struggling households,.57140636
2024,9,Connecticut,White,Share of all households,.67436355
2024,9,Connecticut,White,Difference (% pts.),-.10295719
2024,9,Connecticut,Black,Share of struggling households,.12419547
2024,9,Connecticut,Black,Share of all households,.093254007
2024,9,Connecticut,Black,Difference (% pts.),.030941464
2024,9,Connecticut,Hispanic,Share of struggling households,.21836552
2024,9,Connecticut,Hispanic,Share of all households,.14790916
2024,9,Connecticut,Hispanic,Difference (% pts.),.070456356
2024,9,Connecticut,Asian,Share of struggling households,.037402984
2024,9,Connecticut,Asian,Share of all households,.041866463
2024,9,Connecticut,Asian,Difference (% pts.),-.0044634789
2024,9,Connecticut,Other,Share of struggling households,.048629634
2024,9,Connecticut,Other,Share of all households,.042606816
2024,9,Connecticut,Other,Difference (% pts.),.0060228184
